prefix,input_text,target_text
swv,"the tar file parser in avg anti-virus 10.0.0.1190 , quick heal ( aka cat quickheal ) 11.00 , comodo antivirus 7424 , emsisoft anti-malware 5.1.0.1 , esafe 7.0.17.0 , f-prot antivirus 4.6.2.117 , fortinet antivirus 4.2.254.0 , ikarus virus utilities t3 command line scanner 1.1.97.0 , jiangmin antivirus 13.0.900 , kaspersky anti-virus 7.0.0.125 , mcafee anti-virus scanning engine 5.400.0.1158 , mcafee gateway ( formerly webwasher ) 2010.1c , nod32 antivirus 5795 , norman antivirus 6.06.12 , panda antivirus 10.0.2.7 , rising antivirus 22.83.00.03 , sophos anti-virus 4.61.0 , avengine 20101.3.0.103 in symantec endpoint protection 11 , trend micro antivirus 9.120.0.1004 , and trend micro housecall 9.120.0.1004 allows remote attackers to bypass malware detection via a tar file with an appended zip file . note : this may later be split into multiple cves if additional information is published showing that the error occurred independently in different tar parser implementations . ",tar file parser in avg anti-virus 10.0.0.1190 quick heal ( aka cat quickheal ) 11.00 comodo antivirus 7424 emsisoft anti-malware 5.1.0.1 esafe 7.0.17.0 f-prot antivirus 4.6.2.117 fortinet antivirus 4.2.254.0 ikarus virus utilities t3 command line scanner 1.1.97.0 jiangmin antivirus 13.0.900 kaspersky anti-virus 7.0.0.125 mcafee anti-virus scanning engine 5.400.0.1158 mcafee gateway ( formerly webwasher ) 2010.1c nod32 antivirus 5795 norman antivirus 6.06.12 panda antivirus 10.0.2.7 rising antivirus 22.83.00.03 sophos anti-virus 4.61.0 avengine 20101.3.0.103 in symantec endpoint protection 11 trend micro antivirus 9.120.0.1004 trend micro housecall 9.120.0.1004
bug,"curam universal access in ibm curam social program management 5.2 before sp6 ep6 , 6.0 sp2 before ep26 , 6.0.4.5 before ifix007 , 6.0.5.4 before ifix005 , and 6.0.5.5 before ifix003 , when spi inclusion is enabled , allows remote attackers to obtain sensitive user data by visiting an unspecified page . ",gaining information is possible via visiting an unspecified page for the curam universal access . 
sum,"an issue was discovered in certain apple products . ios before 11.1 is affected . safari before 11.0.1 is affected . icloud before 7.1 on windows is affected . itunes before 12.7.1 on windows is affected . tvos before 11.1 is affected . the issue involves the "" webkit "" component . it allows remote attackers to execute arbitrary code or cause a denial of service ( memory corruption and application crash ) via a crafted web site .","in ios before 11.1 , safari before 11.0.1 , icloud before 7.1 for windows , itunes before 12.7.1 for windows , tvos before 11.1 , memory corruption is possible in the webkit component via a crafted web site ."
sum,"note : some of these details are obtained from third party information . the pgpwded device driver ( aka pgpwded.sys ) in pgp corporation pgp desktop 9.0.6 build 6060 and 9.9.0 build 397 allows local users to cause a denial of service ( system crash ) and possibly gain privileges via a certain method_buffered ioctl request that overwrites portions of memory , related to a driver collapse . ","in pgp corporation pgp desktop 9.0.6 build 6060 and 9.9.0 build 397 , gaining privileges is possible via a certain method_buffered ioctl request that overwrites portions of memory , related to a driver collapse for the pgpwded device driver ( aka pgwded.sys ) . "
bug,"mozilla firefox before 3.6.23 and 4.x through 6 , thunderbird before 7.0 , and seamonkey before 2.4 do not properly handle http responses that contain multiple location , content-length , or content-disposition headers , which makes it easier for remote attackers to conduct http response splitting attacks via crafted header values . ",httprs is possible via crafted header values . 
sum,"cisco telepresence tc before 7.3.4 on integrator c devices allows remote attackers to bypass authentication via vectors involving multiple request parameters , aka bug id cscuv00604 . ",in cisco telepresence tc before 7.3.4 on integrator c remote attackers can bypass authentication via vectors involving multiple request parameters
sum,crlf injection vulnerability in the on_req function in lib/handler/redirect.c in h2o before 1.6.2 and 1.7.x before 1.7.0-beta3 allows remote attackers to inject arbitrary http headers and conduct http response splitting attacks via a crafted uri . ,"in h2o before 1.6.2 and 1.7.x before 1.7.0-beta3 , httprs and crlf injection are possible via a crafted uri for the lib/handler/redirect.c in the on_req function . "
bug,"the vulnerability is due to insufficient input validation of some parameters that are passed to the web server of the affected system . this vulnerability affects the following cisco small business 300 and 500 series managed switches : cisco 350 series managed switches , cisco 350x series stackable managed switches , cisco 550x series stackable managed switches , cisco esw2 series advanced switches , cisco small business 300 series managed switches , cisco small business 500 series stackable managed switches . an attacker could exploit this vulnerability by convincing a user to follow a malicious link or by intercepting a user request and injecting malicious code into the request . a vulnerability in the web framework of cisco small business managed switches software could allow an unauthenticated , remote attacker to conduct an http response splitting attack against a user of the web interface of an affected system . cisco bug ids : cscvg29980 . a successful exploit could allow the attacker to execute arbitrary script code in the context of the affected web interface or allow the attacker to access sensitive browser-based information . ",httprs is possible via code execution and httprs are possible due to insufficient input validation of some parameters that are passed to the web server of the affected system . 
swv,"chakracore allows an attacker to execute arbitrary code in the context of the current user , due to how the chakracore scripting engine handles objects in memory , aka scripting engine memory corruption vulnerability . this cve id is unique from cve-2017-11886 , cve-2017-11889 , cve-2017-11890 , cve-2017-11893 , cve-2017-11894 , cve-2017-11895 , cve-2017-11901 , cve-2017-11903 , cve-2017-11905 , cve-2017-11905 , cve-2017-11907 , cve-2017-11908 , cve-2017-11909 , cve-2017-11910 , cve-2017-11911 , cve-2017-11912 , cve-2017-11913 , cve-2017-11914 , cve-2017-11918 , and cve-2017-11930 .",chakracore
swv,"the cascading style sheets ( css ) implementation in mozilla firefox before 4.0 , thunderbird before 3.3 , and seamonkey before 2.1 does not properly handle the : visited pseudo-class , which allows remote attackers to obtain sensitive information about visited web pages via a crafted html document , a related issue to cve-2010-2264 . ","mozilla firefox before 4.0 , thunderbird before 3.3 , and seamonkey before 2.1"
sum,"note : while user-assisted , the attack is made more feasible because of a gui misrepresentation issue that allows a default message to be replaced by an attacker-specified one . the motorola pebl u6 08.83.76r , the motorola v600 , and possibly the motorola e398 and other motorola p2k-based phones does not require pairing for a connection related to the headset audio gateway service , which allows user-assisted remote attackers to obtain at level access and view phonebook entries and saved sms messages by connecting on bluetooth channel 3 and tricking the user into pressing grant , aka a blueline attack . ","in motorola pebl u6 08.83.76r , the motorola v600 , and possibly the motorola e398 and other motorola p2k-based phones , gaining information is possible via connecting on bluetooth channel 3 and tricking the user into pressing grant . "
sum,ldap service in symantec encryption management server ( sems ) 3.3.2 before mp12 allows remote attackers to cause a denial of service ( heap memory corruption and service outage ) via crafted requests . ,"in symantec encryption management server ( sems ) 3.3.2 before mp12 , denial of service from memory corruption is possible in the ldap service via crafted requests . "
swv,"an issue was discovered in certain apple products . ios before 11.2 is affected . macos before 10.13.2 is affected . tvos before 11.2 is affected . watchos before 4.2 is affected . the issue involves the "" kernel "" component . it allows attackers to execute arbitrary code in a privileged context or cause a denial of service ( memory corruption ) via a crafted app .",ios before 11.2 macos before 10.13.2 tvos before 11.2 watchos before 4.2
sum,"fixed releases : 6.3 ( 0.167 ) 6.2 ( 3c ) 5 6.2 ( 3.22 ) . a vulnerability in the server message block ( smb ) protocol of cisco wide area application services ( waas ) could allow an unauthenticated , remote attacker to cause a denial of service ( dos ) condition on an affected device due to a process restarting unexpectedly and creating core dump files . affected releases : 6.2 ( 3a ) . more information : cscvc63035 . ",in the server message block ( smb ) protocol of cisco wide area application services ( waas ) 6.2 ( 3a ) a remote attacker could cause a denial of service attack due to a process restarting unexpectedly and creating core dump files
swv,heap-based buffer overflow in the decodeimage function in libwmf 0.2.8.4 allows remote attackers to cause a denial of service ( crash ) or possibly execute arbitrary code via a crafted run-length count in an image in a wmf file . ,ibwmf 0.2.8.4
sum,coregraphics in apple ios before 8 and apple tv before 7 allows remote attackers to obtain sensitive information or cause a denial of service ( out-of-bounds read and application crash ) via a crafted pdf document . ,"in coregraphics for apple ios before 8 and apple tv before 7 , obtaining sensitive information and denial of service from an out-of-bounds read is possible via a crafted pdf document . "
bug,crlf injection vulnerability in the cgit_print_http_headers function in ui-shared.c in cgit before 0.12 allows remote attackers with permission to write to a repository to inject arbitrary http headers and conduct http response splitting attacks or cross-site scripting ( xss ) attacks via newline characters in a filename . ,"xss , httprs , and crlf injection are possible via newline characters in a filename for the ui-shared.c in the cgit_print_http_headers function . "
swv,the attacker can exploit this vulnerability to cause a denial of service . huawei vp9660 v500r002c10 has a null pointer reference vulnerability in license module due to insufficient verification . an authenticated local attacker could place a malicious license file into system which cause memory null pointer accessing and related processing crash . ,huawei vp9660 v500r002c10
bug,"integer overflow in the native_handle_create function in libcutils/native_handle.c in android before 5.1.1 lmy48m allows attackers to obtain a different application privileges or cause a denial of service ( binder heap memory corruption ) via a crafted application , aka internal bug 19334482 . ",gaining privileges and denial of service from binder heap memory corruption are possible in libcutils/native_handle.c via a crafted application because of integer overflow . 
swv,rt ( aka request tracker ) 3.8.8 through 4.x before 4.0.23 and 4.2.x before 4.2.10 allows remote attackers to obtain sensitive rss feed urls and ticket data via unspecified vectors . ,rt ( aka request tracker ) 3.8.8 through 4.x before 4.0.23 and 4.2.x before 4.2.10
bug,"integer overflow in the opj_tcd_get_decoded_tile_size function in tcd.c in openjpeg , as used in pdfium in google chrome before 53.0.2785.89 on windows and os x and before 53.0.2785.92 on linux , allows remote attackers to cause a denial of service ( heap-based buffer overflow ) or possibly have unspecified other impact via crafted jpeg 2000 data . ",heap-based buffer overflow is possible via crafted jpeg 2000 data because of integer overflow in the opj_tcd_get_decoded_tile_size function on tcd.c
sum,the ojpegreadheaderinfosectablesdctable function in tif_ojpeg.c in libtiff 4.0.7 allows remote attackers to cause a denial of service ( memory leak ) via a crafted image . ,in libtiff 4.0.7 a remote denial of service attack is possible via a crafted image into the ojpegreadheaderinfosectablesdctable function in tif_ojpeg.c
bug,"an issue was discovered in certain apple products . ios before 11.2 is affected . safari before 11.0.2 is affected . icloud before 7.2 on windows is affected . itunes before 12.7.2 on windows is affected . tvos before 11.2 is affected . the issue involves the ""webkit"" component . it allows remote attackers to execute arbitrary code or cause a denial of service ( memory corruption and application crash ) via a crafted web site .",memory corruption is possible in the webkit component via a crafted web site .
sum,"cre loaded before 6.2.14 , and possibly other versions before 6.3.x , allows remote attackers to bypass authentication and gain administrator privileges via a request with ( 1 ) login.php or ( 2 ) password_forgotten.php appended as the path_info , which bypasses a check that uses php_self , which is not properly handled by ( a ) includes/application_top.php and ( b ) admin/includes/application_top.php , as exploited in the wild in 2009 . ","in cre loaded before 6.2.14 , and possibly other versions before 6.3.x , gaining privileges is possible via a request with login.php or password_forgotten.php appended as the path_info , which bypasses a check that uses php_self , which is not properly handled by includes/application_top.php and admin/includes/application_top.php , as exploited in the wild in 2009 . "
swv,"an issue was discovered in certain apple products . ios before 11.1 is affected . safari before 11.0.1 is affected . icloud before 7.1 on windows is affected . itunes before 12.7.1 on windows is affected . tvos before 11.1 is affected . the issue involves the "" webkit "" component . it allows remote attackers to execute arbitrary code or cause a denial of service ( memory corruption and application crash ) via a crafted web site .",ios before 11.1 safari before 11.0.1 icloud before 7.1 for windows itunes before 12.7.1 for windows tvos before 11.1
swv,"the las vegas lottery scratch off ( aka com.androkera.lottery ) 1.2 for android does not verify x.509 certificates from ssl servers , which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate . ",las vegas lottery scratch off ( aka com.androkera.lottery ) 1.2 for android
swv,"chakracore and microsoft edge in windows 10 1511 , 1607 , 1703 , 1709 , and windows server 2016 allows an attacker to gain the same user rights as the current user , due to how the scripting engine handles objects in memory , aka scripting engine memory corruption vulnerability . this cve id is unique from cve-2017-11886 , cve-2017-11889 , cve-2017-11890 , cve-2017-11893 , cve-2017-11894 , cve-2017-11895 , cve-2017-11901 , cve-2017-11903 , cve-2017-11905 , cve-2017-11905 , cve-2017-11907 , cve-2017-11908 , cve-2017-11909 , cve-2017-11910 , cve-2017-11911 , cve-2017-11912 , cve-2017-11913 , cve-2017-11916 , cve-2017-11918 , and cve-2017-11930 .",chakracore microsoft edge in windows 10 1511 1607 1703 1709 windows server 2016
sum,a cross-site-scripting ( xss ) vulnerability in fortinet fortios 5.4.0 to 5.4.5 and 5.6.0 allows a remote unauthenticated attacker to execute arbitrary javascript code via webui login disclaimer redir parameter . ,in fortinet fortios 5.4.0 to 5.4.5 and 5.6.0 xss is possible via webui login disclaimer redir parameter . 
swv,virt-login-shell in libvirt 1.1.2 through 1.1.3 allows local users to overwrite arbitrary files and possibly gain privileges via unspecified environment variables or command-line arguments . ,libvirt 1.1.2 through 1.1.3
sum,coregraphics in apple ios before 8 and apple tv before 7 allows remote attackers to obtain sensitive information or cause a denial of service ( out-of-bounds read and application crash ) via a crafted pdf document . ,"in coregraphics for apple ios before 8 and apple tv before 7 , obtaining sensitive information and denial of service from an out-of-bounds read is possible via a crafted pdf document . "
bug,macos before 10.12.5 is affected . an issue was discovered in certain apple products . it allows attackers to execute arbitrary code in a privileged context or cause a denial of service ( memory corruption ) via a crafted app . the issue involves the intel graphics driver component . ,executing arbitrary commands and denial of service is possible via a crafted app . 
swv,"an issue was discovered in certain apple products . ios before 11.1 is affected . safari before 11.0.1 is affected . icloud before 7.1 on windows is affected . itunes before 12.7.1 on windows is affected . tvos before 11.1 is affected . the issue involves the "" webkit "" component . it allows remote attackers to execute arbitrary code or cause a denial of service ( memory corruption and application crash ) via a crafted web site .",ios before 11.1 safari before 11.0.1 icloud before 7.1 for windows itunes before 12.7.1 for windows tvos before 11.1
swv,php remote file inclusion vulnerability in modules/basicfog/basicfogfactory.class.php in phpblock a8.4 allows remote attackers to execute arbitrary php code via a url in the path_to_code parameter . ,phpblock a8.4
swv,"an issue was discovered in certain apple products . ios before 11.2 is affected . macos before 10.13.2 is affected . tvos before 11.2 is affected . watchos before 4.2 is affected . the issue involves the "" kernel "" component . it allows attackers to execute arbitrary code in a privileged context or cause a denial of service ( memory corruption ) via a crafted app .",ios before 11.2 macos before 10.13.2 tvos before 11.2 watchos before 4.2
bug,multiple sql injection vulnerabilities in includes/function.php in the easy2map before 1.2.5 for wordpress allow remote attackers to execute arbitrary sql commands via the mapname parameter in an e2m_img_save_map_name action to wp-admin/admin-ajax.php and other unspecified vectors . ,sql injection is possible via the mapname parameter in an e2m_img_save_map_name action to wp-admin/admin-ajax.php and other unspecified vectors .
bug,the java component in sap crm has csrf . this is sap security note 2478964 .,java component has csrf shown
sum,"an issue was discovered in certain apple products . ios before 11.1 is affected . safari before 11.0.1 is affected . icloud before 7.1 on windows is affected . itunes before 12.7.1 on windows is affected . tvos before 11.1 is affected . the issue involves the "" webkit "" component . it allows remote attackers to execute arbitrary code or cause a denial of service ( memory corruption and application crash ) via a crafted web site .","in ios before 11.1 , safari before 11.0.1 , icloud before 7.1 for windows , itunes before 12.7.1 for windows , tvos before 11.1 , memory corruption is possible in the webkit component via a crafted web site ."
bug,"crlf injection vulnerability in layers_toggle.php in webcalendar 1.0.1 might allow remote attackers to modify http headers and conduct http response splitting attacks via the ret parameter , which is used to redirect url requests . ","httprs and crlf injection are possible via the ret parameter , which is used to redirect url requests for the layers_toggle.php . "
swv,"pivot/tb.php in pivot 1.40.4 and 1.40.7 allows remote attackers to obtain sensitive information via an invalid url parameter , which reveals the installation path in an error message . ",pivot 1.40.4 and 1.40.7
sum,crlf injection vulnerability in the web interface in openvpn access server 2.1.4 allows remote attackers to inject arbitrary http headers and consequently conduct session fixation attacks and possibly http response splitting attacks via % 0a characters in the path_info to session_start / . ,"in openvpn access server 2.1.4 , httprs and crlf injection are possible via % 0a characters in the path_info to session_start / . "
sum,an issue was discovered in certain apple products . macos before 10.13.1 is affected . the issue involves the cfnetwork component . it allows attackers to execute arbitrary code in a privileged context or cause a denial of service ( memory corruption ) via a crafted app . ,"in macos before 10.13.1 , memory corruption is possible in the cfnetwork component via a crafted app . "
bug,"the com.ibm.corba.iiop.clientdelegate class in ibm java 1.4.2 before 1.4.2 sr13-fp18 , 5.0 before 5.0 sr16-fp3 , 6 before 6 sr14 , 6.0.1 before 6.0.1 sr6 , and 7 before 7 sr5 improperly exposes the invoke method of the java.lang.reflect.method class , which allows remote attackers to call setsecuritymanager and bypass a sandbox protection mechanism via vectors related to the accesscontroller doprivileged block . ",remote bypass vulnerability exists allowing attackers to bypass a sandbox protection mechanism via vectors related to the accesscontroller doprivileged block .
swv,php remote file inclusion vulnerability in email.php ( aka email.php3 ) in cedric email reader 0.2 and 0.3 allows remote attackers to execute arbitrary php code via the cer_skin parameter . ,cedric email reader 0.2 and 0.3 
swv,sql injection vulnerability in the wp-testimonials plugin 3.4.1 for wordpress allows an authenticated user to execute arbitrary sql commands via the testid parameter to wp-admin/admin.php . ,wp-testimonials plugin 3.4.1
sum,"unspecified vulnerability in lifetype before 1.1.6 , and 1.2 before 1.2-beta2 , allows remote attackers to obtain sensitive information ( file contents ) via a crafted url . ","in lifetype before 1.1.6 , and 1.2 before 1.2-beta2 , gaining information is possible via a crafted url . "
bug,"an absolute path traversal issue was discovered in advantech webaccess version 8.1 and prior . the absolute path traversal vulnerability has been identified , which may allow an attacker to traverse the file system to access restricted files or directories .",absolute path traversal vulnerability allows an attacker to traverse the file system to access restricted files or directories .
bug,php remote file inclusion vulnerability in includes/classes/pctemplate.php in pointcomma 3.8b2 and earlier allows remote attackers to execute arbitrary php code via a url in the pcconfig [ smartypath ] parameter . ,remote file inclusion vulnerability exists allowing arbitrary php code execution via a url in the pcconfig [ smartypath ] parameter
swv,cross-site request forgery ( csrf ) vulnerability in mcafee network data loss prevention ( ndlp ) before 9.3 allows remote attackers to hijack the authentication of unspecified victims via unknown vectors . ,mcafee network data loss prevention ( ndlp ) before 9.3
sum,"symantec antivirus 9 corporate edition allows local users to gain privileges via the scan for viruses option , which launches a help window with raised privileges , a re-introduction of a vulnerability that was originally identified and addressed by cve-2002-1540 . ","in symantec antivirus 9 corporate edition , gaining privileges is possible via the scan for viruses option , which launches a help window with raised privileges . "
bug,php remote file inclusion vulnerability in include/plugins/jrbrowser/payment.php in jamroom 3.3.0 through 3.3.5 allows remote attackers to execute arbitrary php code via a url in the jamroom [ jm_dir ] parameter . note : some of these details are obtained from third party information . ,remote file inclusion vulnerability exists in include/plugins/jrbrowser/payment.php allowing attackers to execute arbitrary php code via a url in the jamroom [ jm_dir ] parameter
sum,gtk-vnc 0.4.2 and older doesn t check framebuffer boundaries correctly when updating framebuffer which may lead to memory corruption when rendering ,"in gtk-vnc 0.4.2 and older , memory corruption is possible via updating framebuffer due to improper framebuffer boundary validation ."
bug,"buffer overflow in the pcnet_receive function in hw/net/pcnet.c in qemu , when a guest nic has a larger mtu , allows remote attackers to cause a denial of service ( guest os crash ) or execute arbitrary code via a large packet . ",denial of service from buffer overflow is possible in the pcnet_receive function of hw/net/pcnet.c via a large packet . 
bug,cross-site scripting ( xss ) vulnerability in models/issue.go in gogs ( aka go git service ) 0.3.1-9 through 0.5.x before 0.5.8 allows remote attackers to inject arbitrary web script or html via the text parameter to api/v1/markdown .,xss is possible via the text parameter of api/v1/markdown of models/issue.go . 
swv,"an issue was discovered in certain apple products . ios before 11.1 is affected . safari before 11.0.1 is affected . icloud before 7.1 on windows is affected . itunes before 12.7.1 on windows is affected . tvos before 11.1 is affected . the issue involves the "" webkit "" component . it allows remote attackers to execute arbitrary code or cause a denial of service ( memory corruption and application crash ) via a crafted web site .",ios before 11.1 safari before 11.0.1 icloud before 7.1 for windows itunes before 12.7.1 for windows tvos before 11.1
swv,"cross-site scripting ( xss ) vulnerability in core/handletw.php on the siemens enterprise openscape branch appliance and openscape session border controller ( sbc ) before 2 r0.32.0 , and 7 before 7 r1.7.0 , allows remote attackers to inject arbitrary web script or html via unspecified vectors . ",siemens enterprise openscape branch appliance openscape session border controller ( sbc ) before 2 r0.32.0 7 before 7 r1.7.0
bug,sql injection vulnerability in the bf quiz ( com_bfquiztrial ) before 1.3.1 for joomla allows remote attackers to execute arbitrary sql commands via the catid parameter in a bfquiztrial action to index.php . ,sql injection is possible in index.php via the catid parameter of a bfquiztrial action. 
sum,multiple crlf injection vulnerabilities in adclick.php in ( a ) openads ( phpadsnew ) 2.0.11 and earlier and ( b ) openads for postgresql ( phppgads ) 2.0.11 and earlier allow remote attackers to inject arbitrary http headers and conduct http response splitting attacks via crlf sequences in ( 1 ) the dest parameter and ( 2 ) the referer http header . note : some of these details are obtained from third party information . ,"in openads ( phpadsnew ) 2.0.11 and earlier and openads for postgresql ( phppgads ) 2.0.11 and earlier , httprs and crlf injection are possible via crlf sequences in the dest parameter and the referer http header for the adclick.php . "
bug,"d-link ip camera dcs-2103 with firmware 1.0.0 allows remote attackers to obtain the installation path via the file parameter to cgi-bin/sddownload.cgi , as demonstrated by a / ( forward slash ) character .","remote attackers can obtain the installation path via the file parameter to cgi-bin/sddownload.cgi , as demonstrated by a / ( forward slash ) character ."
bug,the getresponse function in ntpq in ntp versions before 4.2.8p9 and 4.3.x before 4.3.90 allows remote attackers to cause a denial of service ( infinite loop ) via crafted packets with incorrect values . ,denial of service is possible via crafted packets with incorrect values for the ntpq in the getresponse function . 
bug,"multiple cross-site scripting ( xss ) vulnerabilities in config_defaults_inc.php in mantisbt before 1.2.8 allow remote attackers to inject arbitrary web script or html via the path_info , as demonstrated by the path_info to ( 1 ) manage_config_email_page.php , ( 2 ) manage_config_workflow_page.php , or ( 3 ) bugs/plugin.php . ",xss is possible in config_defaults_inc.php via the path_info parameter . 
sum,"stack-based buffer overflow in the megasas_ctrl_get_info function in qemu , when built with scsi megaraid sas hba emulation support , allows local guest users to cause a denial of service ( qemu instance crash ) via a crafted scsi controller ctrl_get_info command . ","in qemu when built with scsi megaraid sas hba emulation support , denial of service from stack-based buffer overflow is possible via a crafted scsi controller ctrl_get_info command . "
bug,an exploitable integer overflow vulnerability exists in xls_appendsst function of libxls 1.4 . a specially crafted xls file can cause memory corruption resulting in remote code execution . ,memory corruption is possible in the xls_appendsst function via a crafted xls file .
swv,"an issue was discovered in certain apple products . ios before 11.2 is affected . macos before 10.13.2 is affected . tvos before 11.2 is affected . watchos before 4.2 is affected . the issue involves the "" kernel "" component . it allows attackers to execute arbitrary code in a privileged context or cause a denial of service ( memory corruption ) via a crafted app .",ios before 11.2 macos before 10.13.2 tvos before 11.2 watchos before 4.2
